sample_id,split,class,image_path,source_dataset,source_path,provenance,pixel_sha256,negative
yolo_raw_synthetic_wound__syn_wound_0005,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0005.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0005.jpg,SYNTHETIC,fe3afd7ec0b85042da1c11f2985f1f6fcbd99851aea29c6e872819db08dab1ed,False
yolo_raw_synthetic_wound__syn_wound_0008,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0008.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0008.jpg,SYNTHETIC,ff7af743d0632bfc6b83e790379c882ce5a7882dcb4aa927f4d70b907284912e,False
yolo_raw_synthetic_wound__syn_wound_0023,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0023.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0023.jpg,SYNTHETIC,dca6bf88146600b7120b7828b22e574b4e3bebe247d4b2e0ab99a4622160a3c8,False
yolo_raw_synthetic_wound__syn_wound_0029,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0029.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0029.jpg,SYNTHETIC,f46fe43dcbbb30707ae99bc3a025b1c3fee6f3b358cf68a9a2056bbf07b9aebd,False
yolo_raw_synthetic_wound__syn_wound_0070,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0070.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0070.jpg,SYNTHETIC,f3689ecd8f1e6935a32cb1951cf18c6ffa542eef3214e7a25d595d3b0c27bcdc,False
yolo_raw_synthetic_wound__syn_wound_0109,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0109.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0109.jpg,SYNTHETIC,d72cae4e9aa483c552679ee8a48e1bcdd8f3a91cfe82d20c88b0d21f5153b77d,False
yolo_raw_synthetic_wound__syn_wound_0119,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0119.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0119.jpg,SYNTHETIC,ebf97dd12e2d7a9299c02a6a4afc9bb4d42e22f9b15559dd20775a8f46b04022,False
yolo_raw_synthetic_wound__syn_wound_0132,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0132.jpg,yolo_processed,data/datasets/yolo_processed/images/train/raw_synthetic_wound__syn_wound_0132.jpg,SYNTHETIC,e7ca49deab84570ffcbe1c3dc59dc2fac8eb7f75ccf47f4c23083e6f64079c40,False
yolo_raw_synthetic_wound__syn_wound_0171,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0171.jpg,yolo_processed,data/datasets/yolo_processed/images/val/raw_synthetic_wound__syn_wound_0171.jpg,SYNTHETIC,f5e8be7d6f8d78b9f33ddf496ecb959040909ecea6d159e740bc9d959295c7ee,False
yolo_raw_synthetic_wound__syn_wound_0216,test,bruise,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0216.jpg,yolo_processed,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0216.jpg,SYNTHETIC,f5dfdeaf11980dbe2ab8c21db482087de465c06b73adf5211068993ca2896442,False
