sample_id,split,class,subject_id,image_path,source_dataset,source_path,provenance,normal_kind,pixel_sha256
yolo_raw_synthetic_wound__syn_wound_0007,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0007,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_0007.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0007.jpg,SYNTHETIC,,6a909cf3749b2d12ef8cc7083d708811e978cf3fd78d380a940f9be622ddd58d
yolo_raw_synthetic_wound__syn_wound_0008,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0008,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_0008.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0008.jpg,SYNTHETIC,,ff7af743d0632bfc6b83e790379c882ce5a7882dcb4aa927f4d70b907284912e
yolo_raw_synthetic_wound__syn_wound_0091,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0091,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_0091.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0091.jpg,SYNTHETIC,,37a040cfc0dfd3a4b71ff4c19b4cad54ded0e774c14bc6d7c91bafe7072f9c15
yolo_raw_synthetic_wound__syn_wound_0109,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0109,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_0109.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0109.jpg,SYNTHETIC,,d72cae4e9aa483c552679ee8a48e1bcdd8f3a91cfe82d20c88b0d21f5153b77d
yolo_raw_synthetic_wound__syn_wound_0120,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0120,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_0120.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0120.jpg,SYNTHETIC,,57095cfc3410f9ca31732d41597d03b6f423403e0b6efe0b7441221af19be614
yolo_raw_synthetic_wound__syn_wound_0136,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0136,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_0136.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0136.jpg,SYNTHETIC,,3a4dbd65c84938706d553a87537cf75f24225c15233c18caeeaeaa1edd67f44f
yolo_raw_synthetic_wound__syn_wound_0161,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0161,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_0161.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0161.jpg,SYNTHETIC,,2011dbcdc9edcecd17db6c78f343cf50e4318dacf0f4f66505ed8089bf6f6463
yolo_raw_synthetic_wound__syn_wound_0218,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0218,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_0218.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0218.jpg,SYNTHETIC,,af89df1907e354b95de0c09fc268ce623ab011305f4e80fd0217a3cfb264d4a5
yolo_raw_synthetic_wound__syn_wound_neardup,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_neardup,data/datasets/efficientnet_reject_v2/images/bruise_yolo_raw_synthetic_wound__syn_wound_neardup.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_neardup.jpg,SYNTHETIC,,66161c4de0992abfedd2633ab8141d0f6c7bb99d4aec80428c1a480a1f7132db
yolo_yolo_real_wound__public_sample_0002,test,bruise,drawing_yolo_yolo_real_wound__public_sample_0002,data/datasets/efficientnet_reject_v2/images/bruise_yolo_yolo_real_wound__public_sample_0002.png,yolo_processed,data/datasets/efficientnet_processed/images/val/yolo_yolo_real_wound__public_sample_0002.jpg,SYNTHETIC,,b5b1eaa164eed94f775a3402658434e6e6c0fa5b4e2f38aa2cfbd8d81f00a88c
yolo_raw_synthetic_wound__syn_wound_0006,test,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0006,data/datasets/efficientnet_reject_v2/images/cut_yolo_raw_synthetic_wound__syn_wound_0006.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0006.jpg,SYNTHETIC,,277714de5ed0995331109d02b7eb27a9f8a2a9ced8943590c1de89fbaa0a49e0
yolo_raw_synthetic_wound__syn_wound_0011,test,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0011,data/datasets/efficientnet_reject_v2/images/cut_yolo_raw_synthetic_wound__syn_wound_0011.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0011.jpg,SYNTHETIC,,a6400be4ade86ca20dcb216fb118facb0aaffa1f41e9a6117936661225551eba
yolo_raw_synthetic_wound__syn_wound_0059,test,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0059,data/datasets/efficientnet_reject_v2/images/cut_yolo_raw_synthetic_wound__syn_wound_0059.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0059.jpg,SYNTHETIC,,10033995ada753b4c339d69eec4116f5a17bc483a333c2f8a32d90377ae83dd6
yolo_raw_synthetic_wound__syn_wound_0084,test,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0084,data/datasets/efficientnet_reject_v2/images/cut_yolo_raw_synthetic_wound__syn_wound_0084.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0084.jpg,SYNTHETIC,,0781e94345a7e98ac07646fba176547bb89b108ed787d2fc34af4bc7a9f11b39
yolo_raw_synthetic_wound__syn_wound_0115,test,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0115,data/datasets/efficientnet_reject_v2/images/cut_yolo_raw_synthetic_wound__syn_wound_0115.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0115.jpg,SYNTHETIC,,1ae2d5140dfc55c9e6e001e35f375830103c41c4b021f5328da19d21e2f01430
yolo_raw_synthetic_wound__syn_wound_0126,test,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0126,data/datasets/efficientnet_reject_v2/images/cut_yolo_raw_synthetic_wound__syn_wound_0126.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0126.jpg,SYNTHETIC,,94d0eff1d3cff20c3813888c3932a7d80ef3515b19513e974e0246d35caf6d39
yolo_raw_synthetic_wound__syn_wound_0148,test,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0148,data/datasets/efficientnet_reject_v2/images/cut_yolo_raw_synthetic_wound__syn_wound_0148.png,yolo_processed,data/datasets/efficientnet_processed/images/train/yolo_raw_synthetic_wound__syn_wound_0148.jpg,SYNTHETIC,,3eb65bad0545c7445dd8799c98745839f5ebc6e6c0253269fa8a8f6916145290
