sample_id,split,class,subject_id,image_path,source_dataset,source_path,provenance,normal_kind,pixel_sha256
yolo_raw_synthetic_wound__syn_wound_0005,train,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0005,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0005.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0005.jpg,SYNTHETIC,,fe3afd7ec0b85042da1c11f2985f1f6fcbd99851aea29c6e872819db08dab1ed
yolo_raw_synthetic_wound__syn_wound_0008,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0008,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0008.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0008.jpg,SYNTHETIC,,ff7af743d0632bfc6b83e790379c882ce5a7882dcb4aa927f4d70b907284912e
yolo_raw_synthetic_wound__syn_wound_0023,train,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0023,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0023.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0023.jpg,SYNTHETIC,,dca6bf88146600b7120b7828b22e574b4e3bebe247d4b2e0ab99a4622160a3c8
yolo_raw_synthetic_wound__syn_wound_0029,train,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0029,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0029.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0029.jpg,SYNTHETIC,,f46fe43dcbbb30707ae99bc3a025b1c3fee6f3b358cf68a9a2056bbf07b9aebd
yolo_raw_synthetic_wound__syn_wound_0070,train,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0070,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0070.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0070.jpg,SYNTHETIC,,f3689ecd8f1e6935a32cb1951cf18c6ffa542eef3214e7a25d595d3b0c27bcdc
yolo_raw_synthetic_wound__syn_wound_0109,test,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0109,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0109.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0109.jpg,SYNTHETIC,,d72cae4e9aa483c552679ee8a48e1bcdd8f3a91cfe82d20c88b0d21f5153b77d
yolo_raw_synthetic_wound__syn_wound_0119,train,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0119,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0119.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0119.jpg,SYNTHETIC,,ebf97dd12e2d7a9299c02a6a4afc9bb4d42e22f9b15559dd20775a8f46b04022
yolo_raw_synthetic_wound__syn_wound_0132,val,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0132,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0132.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0132.jpg,SYNTHETIC,,e7ca49deab84570ffcbe1c3dc59dc2fac8eb7f75ccf47f4c23083e6f64079c40
yolo_raw_synthetic_wound__syn_wound_0171,val,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0171,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0171.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0171.jpg,SYNTHETIC,,f5e8be7d6f8d78b9f33ddf496ecb959040909ecea6d159e740bc9d959295c7ee
yolo_raw_synthetic_wound__syn_wound_0216,val,bruise,drawing_yolo_raw_synthetic_wound__syn_wound_0216,data/datasets/efficientnet_subject_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0216.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0216.jpg,SYNTHETIC,,f5dfdeaf11980dbe2ab8c21db482087de465c06b73adf5211068993ca2896442
yolo_raw_synthetic_wound__syn_wound_0018,train,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0018,data/datasets/efficientnet_subject_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0018.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0018.jpg,SYNTHETIC,,f7602ae01c1b22d3bc57bb83551d56c36744362e6268c75aaae745c604ddc529
yolo_raw_synthetic_wound__syn_wound_0034,train,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0034,data/datasets/efficientnet_subject_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0034.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0034.jpg,SYNTHETIC,,ea0a2241645f7b9bc27bae74f12e5b4cc97d39743ef6ffdd091bff7c7c21eb08
yolo_raw_synthetic_wound__syn_wound_0079,train,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0079,data/datasets/efficientnet_subject_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0079.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0079.jpg,SYNTHETIC,,f11b77dbe997f6fea8f7be4fe6cf625af42235efc734a4d69d0340d197441cde
yolo_raw_synthetic_wound__syn_wound_0082,train,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0082,data/datasets/efficientnet_subject_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0082.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0082.jpg,SYNTHETIC,,e24ba378824690572242890fa7cb017eb872e6e03acb96dfc8bb93df52fddc74
yolo_raw_synthetic_wound__syn_wound_0085,train,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0085,data/datasets/efficientnet_subject_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0085.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0085.jpg,SYNTHETIC,,f2a94813604040da8886d386e7b4019146e7e2a74ab6cf5611007ba2760d22ee
yolo_raw_synthetic_wound__syn_wound_0137,train,cut,drawing_yolo_raw_synthetic_wound__syn_wound_0137,data/datasets/efficientnet_subject_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0137.png,yolo_processed,data/datasets/efficientnet_processed/images/test/yolo_raw_synthetic_wound__syn_wound_0137.jpg,SYNTHETIC,,e8aa78af2c62c860e4af7db9f2df5d3d3315ac418de446853ebae9239090b4e3
