sample_id,split,class,image_path,source_dataset,provenance,pixel_sha256
yolo_raw_synthetic_wound__syn_wound_0005,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0005.png,yolo_processed,SYNTHETIC,fe3afd7ec0b85042da1c11f2985f1f6fcbd99851aea29c6e872819db08dab1ed
yolo_raw_synthetic_wound__syn_wound_0008,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0008.png,yolo_processed,SYNTHETIC,ff7af743d0632bfc6b83e790379c882ce5a7882dcb4aa927f4d70b907284912e
yolo_raw_synthetic_wound__syn_wound_0023,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0023.png,yolo_processed,SYNTHETIC,dca6bf88146600b7120b7828b22e574b4e3bebe247d4b2e0ab99a4622160a3c8
yolo_raw_synthetic_wound__syn_wound_0029,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0029.png,yolo_processed,SYNTHETIC,f46fe43dcbbb30707ae99bc3a025b1c3fee6f3b358cf68a9a2056bbf07b9aebd
yolo_raw_synthetic_wound__syn_wound_0070,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0070.png,yolo_processed,SYNTHETIC,f3689ecd8f1e6935a32cb1951cf18c6ffa542eef3214e7a25d595d3b0c27bcdc
yolo_raw_synthetic_wound__syn_wound_0109,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0109.png,yolo_processed,SYNTHETIC,d72cae4e9aa483c552679ee8a48e1bcdd8f3a91cfe82d20c88b0d21f5153b77d
yolo_raw_synthetic_wound__syn_wound_0119,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0119.png,yolo_processed,SYNTHETIC,ebf97dd12e2d7a9299c02a6a4afc9bb4d42e22f9b15559dd20775a8f46b04022
yolo_raw_synthetic_wound__syn_wound_0132,val,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0132.png,yolo_processed,SYNTHETIC,e7ca49deab84570ffcbe1c3dc59dc2fac8eb7f75ccf47f4c23083e6f64079c40
yolo_raw_synthetic_wound__syn_wound_0171,val,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0171.png,yolo_processed,SYNTHETIC,f5e8be7d6f8d78b9f33ddf496ecb959040909ecea6d159e740bc9d959295c7ee
yolo_raw_synthetic_wound__syn_wound_0216,val,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0216.png,yolo_processed,SYNTHETIC,f5dfdeaf11980dbe2ab8c21db482087de465c06b73adf5211068993ca2896442
yolo_raw_synthetic_wound__syn_wound_0018,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0018.png,yolo_processed,SYNTHETIC,f7602ae01c1b22d3bc57bb83551d56c36744362e6268c75aaae745c604ddc529
yolo_raw_synthetic_wound__syn_wound_0034,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0034.png,yolo_processed,SYNTHETIC,ea0a2241645f7b9bc27bae74f12e5b4cc97d39743ef6ffdd091bff7c7c21eb08
yolo_raw_synthetic_wound__syn_wound_0079,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0079.png,yolo_processed,SYNTHETIC,f11b77dbe997f6fea8f7be4fe6cf625af42235efc734a4d69d0340d197441cde
yolo_raw_synthetic_wound__syn_wound_0082,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0082.png,yolo_processed,SYNTHETIC,e24ba378824690572242890fa7cb017eb872e6e03acb96dfc8bb93df52fddc74
yolo_raw_synthetic_wound__syn_wound_0085,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0085.png,yolo_processed,SYNTHETIC,f2a94813604040da8886d386e7b4019146e7e2a74ab6cf5611007ba2760d22ee
yolo_raw_synthetic_wound__syn_wound_0137,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0137.png,yolo_processed,SYNTHETIC,e8aa78af2c62c860e4af7db9f2df5d3d3315ac418de446853ebae9239090b4e3
yolo_raw_synthetic_wound__syn_wound_0141,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0141.png,yolo_processed,SYNTHETIC,fd8d1401feb9212d35992f2661e2c6bfa7a3f758b43220a96bcc7620eea00e9b
yolo_raw_synthetic_wound__syn_wound_0200,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_raw_synthetic_wound__syn_wound_0200.png,yolo_processed,SYNTHETIC,e2f3bfd429480ed5cc17463925d9df218b8b4662f1faac17901b1251b9cd08cc
yolo_yolo_real_wound__public_sample_0001,train,cut,data/datasets/efficientnet_with_normal/images/cut_yolo_yolo_real_wound__public_sample_0001.png,yolo_processed,SYNTHETIC,f3a0596e8cd0212b0435977128635e66bd899c555bf9a3e2f923ec665b044d71
injury_sample_0002,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_injury_sample_0002.png,injury_dataset,SYNTHETIC,34f64ba8d94f4e4cdfd207fb08ee5c2e5176b6a9f9859d54357eb4c4657f3409
yolo_raw_synthetic_wound__syn_wound_0007,test,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0007.png,yolo_processed,SYNTHETIC,6a909cf3749b2d12ef8cc7083d708811e978cf3fd78d380a940f9be622ddd58d
yolo_raw_synthetic_wound__syn_wound_0012,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0012.png,yolo_processed,SYNTHETIC,9b6ccf23860a926d4babfa9d1c9e20c120d96bf9581d4acbf816c21eea1a155f
yolo_raw_synthetic_wound__syn_wound_0017,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0017.png,yolo_processed,SYNTHETIC,35778770cbee75a6e9f64bd9087296679d3b6611d2e2d02100c7cd38c6ddcf38
yolo_raw_synthetic_wound__syn_wound_0020,val,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0020.png,yolo_processed,SYNTHETIC,19957e89f860be0290b3f789883c1c4357936a6cff62e45d5b39b2772fd13a60
yolo_raw_synthetic_wound__syn_wound_0027,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0027.png,yolo_processed,SYNTHETIC,16df5da17808b93118b40c2908dd16bf0da90f202554ac487493d590da015925
yolo_raw_synthetic_wound__syn_wound_0039,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0039.png,yolo_processed,SYNTHETIC,346865bafda069544c7a637b905f8aeb80efe9a07efe198e42a1e7ac1ea59889
yolo_raw_synthetic_wound__syn_wound_0041,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0041.png,yolo_processed,SYNTHETIC,093bb23e43ddc222e755c2592bdfc2389d7bf19b519bad7849275fc4e569e94a
yolo_raw_synthetic_wound__syn_wound_0065,train,bruise,data/datasets/efficientnet_with_normal/images/bruise_yolo_raw_synthetic_wound__syn_wound_0065.png,yolo_processed,SYNTHETIC,9ed56f4479add9efd6db10ff36cdb7a8bd4f639b1fbb2aa96d12cd26a0b37624
