sample_id,subject_id,original_label,canonical_label,mapping_reason,sampling_rate_hz,window_seconds,peak_g_force,peak_accel_ms2,peak_jerk_gs,accel_variance,gyro_variance,sma,stabilization_seconds,impact_flag,source_dataset,split_method,split
sens_0001,subj_001,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.8146,27.6022,91.0816,0.026949,0.088634,10.2568,1.68,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0002,subj_002,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.6745,94.8741,433.4078,0.597262,0.137425,10.843,1.82,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0003,subj_003,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.1484,21.0686,59.2488,0.011251,0.105111,10.2636,1.22,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0004,subj_004,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,4.912,48.1699,195.3186,0.122384,0.032134,10.4195,1.14,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0005,subj_005,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.0133,19.744,49.017,0.009108,0.119118,10.2592,1.34,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0006,subj_006,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,7.1268,69.8902,307.0668,0.298813,0.104026,10.6037,1.1,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0007,subj_007,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,1.8962,18.5951,44.4886,0.007327,0.033277,10.1729,1.4,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0008,subj_008,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.4786,24.3064,75.2172,0.018442,0.162456,10.2124,1.82,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0009,subj_009,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.608,25.5761,84.7856,0.021523,0.169543,10.2545,1.78,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0010,subj_010,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,6.9937,68.5848,300.2143,0.285837,0.14142,10.6003,1.7,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0011,subj_011,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.86,57.4665,241.4046,0.187904,0.033287,10.5696,1.1,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0012,subj_012,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.7211,26.6847,87.3325,0.024457,0.101744,10.2272,1.52,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0013,subj_013,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.3901,52.8587,220.0777,0.153904,0.060186,10.4249,1.34,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0014,subj_014,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.3725,82.1064,370.0016,0.431912,0.14391,10.7595,1.78,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0015,subj_015,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,7.6969,75.4808,337.1777,0.356621,0.038249,10.6578,1.16,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0016,subj_016,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,9.7629,95.7415,438.1518,0.609844,0.094795,10.8553,1.7,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0017,subj_017,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,4.9069,48.1203,196.7297,0.122029,0.092171,10.4096,1.28,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0018,subj_018,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,9.7259,95.379,438.4983,0.604437,0.086843,10.8785,1.14,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0019,subj_019,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,4.8594,47.6544,194.2869,0.119229,0.056153,10.4426,1.88,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0020,subj_020,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.4104,23.6377,71.588,0.016445,0.074476,10.2705,1.84,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0021,subj_021,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,7.3344,71.926,319.074,0.319427,0.124171,10.6098,1.72,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0022,subj_022,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.6098,55.0134,231.4756,0.169484,0.168695,10.4989,1.88,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0023,subj_023,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.0524,20.127,53.8596,0.00941,0.162541,10.2089,1.82,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0024,subj_024,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,7.2648,71.2435,314.3497,0.312636,0.03258,10.5748,1.58,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,val
sens_0025,subj_025,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.1234,20.8233,56.2957,0.010811,0.132046,10.1796,1.56,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0026,subj_026,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,14.0884,138.1597,653.0656,1.359353,0.056575,11.1923,1.78,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0027,subj_027,normal_walking,normal_activity,Mapped 'normal_walking' to research telemetry taxonomy 'normal_activity',50.0,2.5,2.141,20.9957,59.6976,0.010921,0.038954,10.224,1.42,0.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0028,subj_028,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.7229,85.5429,385.5755,0.474352,0.055001,10.7265,1.64,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0029,subj_029,hard_impact_collision,impact,Mapped 'hard_impact_collision' to research telemetry taxonomy 'impact',50.0,2.5,10.3523,101.5211,467.2372,0.694407,0.148633,10.8862,1.44,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,test
sens_0030,subj_030,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,8.0321,78.768,352.3014,0.393373,0.130559,10.6648,1.62,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
sens_0031,subj_031,lateral_fall,fall,Mapped 'lateral_fall' to research telemetry taxonomy 'fall',50.0,2.5,5.0009,49.0423,199.4899,0.127895,0.071631,10.4456,1.36,1.0,SisFall / UCI HAR Motion Telemetry,subject_level_split,train
