sample_id,subject_id,source,activity,original_label,canonical_label,sampling_rate_hz,window_seconds,peak_g_force,peak_accel_ms2,peak_jerk_gs,accel_variance,gyro_variance,sma,stabilization_seconds,impact_flag,split_method,split
sisfall_D01_SA01_R01,sisfall_SA01,SisFall,D01,D01,normal_activity,50.0,2.5,1.6894,16.5671,26.1222,0.048275,0.076555,12.6242,0.2,0.0,subject_level_split,train
sisfall_D02_SA01_R01,sisfall_SA01,SisFall,D02,D02,normal_activity,50.0,2.5,2.3374,22.9225,49.7779,0.150496,0.173961,14.5779,0.02,0.0,subject_level_split,train
sisfall_D03_SA01_R01,sisfall_SA01,SisFall,D03,D03,normal_activity,50.0,2.5,3.2291,31.6664,70.3706,0.666813,0.273752,18.1141,0.76,1.0,subject_level_split,train
sisfall_D04_SA01_R01,sisfall_SA01,SisFall,D04,D04,normal_activity,50.0,2.5,3.8631,37.8842,80.844,0.790939,0.643528,20.4196,1.16,1.0,subject_level_split,train
sisfall_D05_SA01_R01,sisfall_SA01,SisFall,D05,D05,normal_activity,50.0,2.5,1.6699,16.3766,19.0619,0.01656,0.234917,11.5918,0.32,0.0,subject_level_split,train
sisfall_D05_SA01_R02,sisfall_SA01,SisFall,D05,D05,normal_activity,50.0,2.5,1.2085,11.8513,9.9367,0.002794,0.269106,12.3837,2.02,0.0,subject_level_split,train
sisfall_D05_SA01_R03,sisfall_SA01,SisFall,D05,D05,normal_activity,50.0,2.5,1.2679,12.4336,9.0316,0.003423,0.431811,12.6472,2.48,0.0,subject_level_split,train
sisfall_D05_SA01_R04,sisfall_SA01,SisFall,D05,D05,normal_activity,50.0,2.5,1.4592,14.31,9.2157,0.00545,0.198136,12.5366,2.42,0.0,subject_level_split,train
sisfall_D05_SA01_R05,sisfall_SA01,SisFall,D05,D05,normal_activity,50.0,2.5,1.2084,11.8506,9.0526,0.002472,0.237774,11.8121,0.5,0.0,subject_level_split,train
sisfall_D06_SA01_R01,sisfall_SA01,SisFall,D06,D06,normal_activity,50.0,2.5,1.1909,11.6787,4.4054,0.000851,0.040618,11.9589,2.3,0.0,subject_level_split,train
sisfall_D06_SA01_R02,sisfall_SA01,SisFall,D06,D06,normal_activity,50.0,2.5,2.8069,27.526,54.0068,0.211128,0.197775,13.7186,1.54,0.0,subject_level_split,train
sisfall_D06_SA01_R03,sisfall_SA01,SisFall,D06,D06,normal_activity,50.0,2.5,3.158,30.9697,59.4862,0.298026,0.276814,14.5757,1.7,1.0,subject_level_split,train
sisfall_D06_SA01_R04,sisfall_SA01,SisFall,D06,D06,normal_activity,50.0,2.5,4.198,41.1684,112.8652,0.462863,0.570919,14.1672,0.36,1.0,subject_level_split,train
sisfall_D06_SA01_R05,sisfall_SA01,SisFall,D06,D06,normal_activity,50.0,2.5,3.7855,37.1227,92.6718,0.749346,0.558407,16.6676,1.28,1.0,subject_level_split,train
sisfall_D07_SA01_R01,sisfall_SA01,SisFall,D07,D07,normal_activity,50.0,2.5,1.0187,9.9897,1.1466,3.3e-05,0.00017,11.2966,2.4,0.0,subject_level_split,train
sisfall_D07_SA01_R02,sisfall_SA01,SisFall,D07,D07,normal_activity,50.0,2.5,1.0193,9.9955,1.8406,6.3e-05,0.000239,11.6754,0.42,0.0,subject_level_split,train
