sample_id,split,kind,class,empty_mask,mask_area,image_path,mask_path,source_dataset,source_path,source_mask,provenance,pixel_sha256
injury_sample_0003,test,positive,swelling,False,0.229133,data/datasets/unet_processed/images/test/injury_sample_0003.jpg,data/datasets/unet_processed/masks/test/injury_sample_0003.png,injury_dataset,data/datasets/injury_dataset/images/sample_0003.jpg,data/datasets/injury_dataset/masks/mask_0003.png,SYNTHETIC,fb854a2a7ac1788c64f177055aa450558454069e0bb0f46d9f7b944f8ca3d0e3
public_public_sample_0001,test,positive,cut,False,0.035993,data/datasets/unet_processed/images/test/public_public_sample_0001.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0001.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0001.jpg,data/datasets/public_wound_dataset/masks/public_mask_0001.png,SYNTHETIC,f3a0596e8cd0212b0435977128635e66bd899c555bf9a3e2f923ec665b044d71
public_public_sample_0040,test,positive,swelling,False,0.026706,data/datasets/unet_processed/images/test/public_public_sample_0040.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0040.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0040.jpg,data/datasets/public_wound_dataset/masks/public_mask_0040.png,SYNTHETIC,e74dacbfb6c241af5b3999419725e6630b1b7379bfcd15215a344f0b25f3a8cf
public_public_sample_0124,test,positive,swelling,False,0.028201,data/datasets/unet_processed/images/test/public_public_sample_0124.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0124.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0124.jpg,data/datasets/public_wound_dataset/masks/public_mask_0124.png,SYNTHETIC,e5bc2cf9a4f8161c16383dcce95af1211a234839f23d8f0c62b50cded1a09667
public_public_sample_0154,test,positive,swelling,False,0.028221,data/datasets/unet_processed/images/test/public_public_sample_0154.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0154.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0154.jpg,data/datasets/public_wound_dataset/masks/public_mask_0154.png,SYNTHETIC,fe1306a91d858e6a9ade6ef6274b298679371b4556ab72a02d84c4b366709c09
public_public_sample_0160,test,positive,swelling,False,0.026287,data/datasets/unet_processed/images/test/public_public_sample_0160.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0160.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0160.jpg,data/datasets/public_wound_dataset/masks/public_mask_0160.png,SYNTHETIC,eea893d4ded36fbdac19a45e36970a0196ff3f0dfaca29716dd487d30f4c8e82
injury_sample_0001,train,positive,cut,False,0.025211,data/datasets/unet_processed/images/train/injury_sample_0001.jpg,data/datasets/unet_processed/masks/train/injury_sample_0001.png,injury_dataset,data/datasets/injury_dataset/images/sample_0001.jpg,data/datasets/injury_dataset/masks/mask_0001.png,SYNTHETIC,746f488573dcbda011d115d04f19b18b238c1081af76bd5eb6779624e1a36811
injury_sample_0002,train,positive,bruise,False,0.159538,data/datasets/unet_processed/images/train/injury_sample_0002.jpg,data/datasets/unet_processed/masks/train/injury_sample_0002.png,injury_dataset,data/datasets/injury_dataset/images/sample_0002.jpg,data/datasets/injury_dataset/masks/mask_0002.png,SYNTHETIC,34f64ba8d94f4e4cdfd207fb08ee5c2e5176b6a9f9859d54357eb4c4657f3409
public_public_sample_0003,train,positive,swelling,False,0.268435,data/datasets/unet_processed/images/train/public_public_sample_0003.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0003.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0003.jpg,data/datasets/public_wound_dataset/masks/public_mask_0003.png,SYNTHETIC,121c37b6e7a35bc69bd67202b361a1bcf15f042ad01284856d047eb229b69462
public_public_sample_0004,train,positive,swelling,False,0.027543,data/datasets/unet_processed/images/train/public_public_sample_0004.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0004.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0004.jpg,data/datasets/public_wound_dataset/masks/public_mask_0004.png,SYNTHETIC,2ab065eec7f0ebd776ee72d3a5a5d6c9e69e8de2a4a1578d0cbbd887e56ce5c6
public_public_sample_0005,train,positive,swelling,False,0.085718,data/datasets/unet_processed/images/train/public_public_sample_0005.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0005.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0005.jpg,data/datasets/public_wound_dataset/masks/public_mask_0005.png,SYNTHETIC,88a7431b3e308067d295cbbf7e72d6e828030d04290cefc8ca59038011cbec23
public_public_sample_0006,train,positive,swelling,False,0.229133,data/datasets/unet_processed/images/train/public_public_sample_0006.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0006.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0006.jpg,data/datasets/public_wound_dataset/masks/public_mask_0006.png,SYNTHETIC,b55fca190c245e08024a6a9a1fbef1876b9915049f26b8bbf426705ca5d53aba
public_public_sample_0010,train,positive,swelling,False,0.027423,data/datasets/unet_processed/images/train/public_public_sample_0010.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0010.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0010.jpg,data/datasets/public_wound_dataset/masks/public_mask_0010.png,SYNTHETIC,3eb33c2f5af9fc8fc17ab3e1f2720f0d5864fef9f56c5da5dcb0236c61bb5226
public_public_sample_0016,train,positive,swelling,False,0.027623,data/datasets/unet_processed/images/train/public_public_sample_0016.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0016.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0016.jpg,data/datasets/public_wound_dataset/masks/public_mask_0016.png,SYNTHETIC,7f6a20905b9cec003cf0c61900b9ca28b0f7cadc6c91ded3659f66cc0574afa8
public_public_sample_0022,train,positive,swelling,False,0.026626,data/datasets/unet_processed/images/train/public_public_sample_0022.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0022.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0022.jpg,data/datasets/public_wound_dataset/masks/public_mask_0022.png,SYNTHETIC,2e5dab6374bd516d6bf040e397e62e5c182e9d06375c05b33f116d1eff632b11
public_public_sample_0028,train,positive,swelling,False,0.025191,data/datasets/unet_processed/images/train/public_public_sample_0028.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0028.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0028.jpg,data/datasets/public_wound_dataset/masks/public_mask_0028.png,SYNTHETIC,8412ae0f4198954983e446a964ae0d838275e2e1c6bfd1ac363695028ee21039
public_public_sample_0034,train,positive,swelling,False,0.025989,data/datasets/unet_processed/images/train/public_public_sample_0034.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0034.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0034.jpg,data/datasets/public_wound_dataset/masks/public_mask_0034.png,SYNTHETIC,7586da0daf3029d5e61d4f1179b0f13226fa534de8787c1caa3fab0fc7217f7e
public_public_sample_0046,train,positive,swelling,False,0.026965,data/datasets/unet_processed/images/train/public_public_sample_0046.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0046.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0046.jpg,data/datasets/public_wound_dataset/masks/public_mask_0046.png,SYNTHETIC,5e4ee265431b32f18fa667d89d1363e1a7d053c57e2e3a3c57f5ae876087180e
public_public_sample_0052,train,positive,swelling,False,0.027244,data/datasets/unet_processed/images/train/public_public_sample_0052.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0052.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0052.jpg,data/datasets/public_wound_dataset/masks/public_mask_0052.png,SYNTHETIC,b39ec6e090d8bd12428cd30b07e30e67d21bb660c98ec958266f0289ccbcd4a9
public_public_sample_0058,train,positive,swelling,False,0.027802,data/datasets/unet_processed/images/train/public_public_sample_0058.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0058.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0058.jpg,data/datasets/public_wound_dataset/masks/public_mask_0058.png,SYNTHETIC,7fc9ed780a1833a69fa03e5f5fb13637103de17342f6381e51be511f0a204fca
public_public_sample_0070,train,positive,swelling,False,0.027643,data/datasets/unet_processed/images/train/public_public_sample_0070.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0070.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0070.jpg,data/datasets/public_wound_dataset/masks/public_mask_0070.png,SYNTHETIC,b2485aa8cf010f76376e4f31bb4a949132360b035da8905422ce5b2d8d090fb8
public_public_sample_0076,train,positive,swelling,False,0.027962,data/datasets/unet_processed/images/train/public_public_sample_0076.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0076.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0076.jpg,data/datasets/public_wound_dataset/masks/public_mask_0076.png,SYNTHETIC,4fb04c99ce7741f91b21efe8b63da137dd870cbc5c44e75d6c53b66d9306b82b
public_public_sample_0082,train,positive,swelling,False,0.028838,data/datasets/unet_processed/images/train/public_public_sample_0082.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0082.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0082.jpg,data/datasets/public_wound_dataset/masks/public_mask_0082.png,SYNTHETIC,817ad8d81a40f63db41838a30def329901d6e3d25dba617ec03320b461133896
public_public_sample_0088,train,positive,swelling,False,0.027404,data/datasets/unet_processed/images/train/public_public_sample_0088.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0088.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0088.jpg,data/datasets/public_wound_dataset/masks/public_mask_0088.png,SYNTHETIC,925eb431aade9a95f67110009c46f6dd5bc124201a6228c50bcfab8097a2ef0c
public_public_sample_0100,train,positive,swelling,False,0.026427,data/datasets/unet_processed/images/train/public_public_sample_0100.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0100.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0100.jpg,data/datasets/public_wound_dataset/masks/public_mask_0100.png,SYNTHETIC,00fa9706cfee1721b07296d8da3d9c2a60009b52939d7377d2f2ba78fbb3ee9a
public_public_sample_0106,train,positive,swelling,False,0.02553,data/datasets/unet_processed/images/train/public_public_sample_0106.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0106.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0106.jpg,data/datasets/public_wound_dataset/masks/public_mask_0106.png,SYNTHETIC,2b647524841d8300b285e590a4c1a90e83c7783f7d6ecef06ce304fa75c5b60d
public_public_sample_0118,train,positive,swelling,False,0.025331,data/datasets/unet_processed/images/train/public_public_sample_0118.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0118.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0118.jpg,data/datasets/public_wound_dataset/masks/public_mask_0118.png,SYNTHETIC,39f215a4e22c440b29900053875ad2c632e6226e16ebb15a1c45c379c8725093
public_public_sample_0136,train,positive,swelling,False,0.026586,data/datasets/unet_processed/images/train/public_public_sample_0136.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0136.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0136.jpg,data/datasets/public_wound_dataset/masks/public_mask_0136.png,SYNTHETIC,4d72cd2fb354f5c8f358549f3623689bdb62d2f71f8f2977849b3b4976e021ff
public_public_sample_0142,train,positive,swelling,False,0.028181,data/datasets/unet_processed/images/train/public_public_sample_0142.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0142.png,public_wound_dataset,data/datasets/public_wound_dataset/images/public_sample_0142.jpg,data/datasets/public_wound_dataset/masks/public_mask_0142.png,SYNTHETIC,59631ea7d32ca9aae79bc2eeeebe47ada71b96855ec9c4de86f4f3fe9879c775
