sample_id,split,kind,class,empty_mask,pixel_sha256,image_path,mask_path
injury_sample_0003,test,positive,swelling,False,fb854a2a7ac1788c64f177055aa450558454069e0bb0f46d9f7b944f8ca3d0e3,data/datasets/unet_processed/images/test/injury_sample_0003.jpg,data/datasets/unet_processed/masks/test/injury_sample_0003.png
public_public_sample_0001,test,positive,cut,False,f3a0596e8cd0212b0435977128635e66bd899c555bf9a3e2f923ec665b044d71,data/datasets/unet_processed/images/test/public_public_sample_0001.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0001.png
public_public_sample_0040,test,positive,swelling,False,e74dacbfb6c241af5b3999419725e6630b1b7379bfcd15215a344f0b25f3a8cf,data/datasets/unet_processed/images/test/public_public_sample_0040.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0040.png
public_public_sample_0124,test,positive,swelling,False,e5bc2cf9a4f8161c16383dcce95af1211a234839f23d8f0c62b50cded1a09667,data/datasets/unet_processed/images/test/public_public_sample_0124.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0124.png
public_public_sample_0154,test,positive,swelling,False,fe1306a91d858e6a9ade6ef6274b298679371b4556ab72a02d84c4b366709c09,data/datasets/unet_processed/images/test/public_public_sample_0154.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0154.png
public_public_sample_0160,test,positive,swelling,False,eea893d4ded36fbdac19a45e36970a0196ff3f0dfaca29716dd487d30f4c8e82,data/datasets/unet_processed/images/test/public_public_sample_0160.jpg,data/datasets/unet_processed/masks/test/public_public_sample_0160.png
injury_sample_0001,train,positive,cut,False,746f488573dcbda011d115d04f19b18b238c1081af76bd5eb6779624e1a36811,data/datasets/unet_processed/images/train/injury_sample_0001.jpg,data/datasets/unet_processed/masks/train/injury_sample_0001.png
injury_sample_0002,train,positive,bruise,False,34f64ba8d94f4e4cdfd207fb08ee5c2e5176b6a9f9859d54357eb4c4657f3409,data/datasets/unet_processed/images/train/injury_sample_0002.jpg,data/datasets/unet_processed/masks/train/injury_sample_0002.png
public_public_sample_0003,train,positive,swelling,False,121c37b6e7a35bc69bd67202b361a1bcf15f042ad01284856d047eb229b69462,data/datasets/unet_processed/images/train/public_public_sample_0003.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0003.png
public_public_sample_0004,train,positive,swelling,False,2ab065eec7f0ebd776ee72d3a5a5d6c9e69e8de2a4a1578d0cbbd887e56ce5c6,data/datasets/unet_processed/images/train/public_public_sample_0004.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0004.png
public_public_sample_0005,train,positive,swelling,False,88a7431b3e308067d295cbbf7e72d6e828030d04290cefc8ca59038011cbec23,data/datasets/unet_processed/images/train/public_public_sample_0005.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0005.png
public_public_sample_0006,train,positive,swelling,False,b55fca190c245e08024a6a9a1fbef1876b9915049f26b8bbf426705ca5d53aba,data/datasets/unet_processed/images/train/public_public_sample_0006.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0006.png
public_public_sample_0010,train,positive,swelling,False,3eb33c2f5af9fc8fc17ab3e1f2720f0d5864fef9f56c5da5dcb0236c61bb5226,data/datasets/unet_processed/images/train/public_public_sample_0010.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0010.png
public_public_sample_0016,train,positive,swelling,False,7f6a20905b9cec003cf0c61900b9ca28b0f7cadc6c91ded3659f66cc0574afa8,data/datasets/unet_processed/images/train/public_public_sample_0016.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0016.png
public_public_sample_0022,train,positive,swelling,False,2e5dab6374bd516d6bf040e397e62e5c182e9d06375c05b33f116d1eff632b11,data/datasets/unet_processed/images/train/public_public_sample_0022.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0022.png
public_public_sample_0028,train,positive,swelling,False,8412ae0f4198954983e446a964ae0d838275e2e1c6bfd1ac363695028ee21039,data/datasets/unet_processed/images/train/public_public_sample_0028.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0028.png
public_public_sample_0034,train,positive,swelling,False,7586da0daf3029d5e61d4f1179b0f13226fa534de8787c1caa3fab0fc7217f7e,data/datasets/unet_processed/images/train/public_public_sample_0034.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0034.png
public_public_sample_0046,train,positive,swelling,False,5e4ee265431b32f18fa667d89d1363e1a7d053c57e2e3a3c57f5ae876087180e,data/datasets/unet_processed/images/train/public_public_sample_0046.jpg,data/datasets/unet_processed/masks/train/public_public_sample_0046.png
