sample_id,split,kind,class,empty_mask,mask_area,image_path,mask_path,source_dataset,source_path,source_mask,provenance,license,pixel_sha256
wseg_44609586,train,positive,wound_unspecified,False,0.072288,data/datasets/unet_public_real/images/wseg_44609586.png,data/datasets/unet_public_real/masks/wseg_44609586.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/44609586.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/44609586.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,257cd1f5ccb2f1aa36313a15848a11d38d2b4bf409b9db71a258ec225bd37cd6
wseg_44804368,train,positive,wound_unspecified,False,0.026287,data/datasets/unet_public_real/images/wseg_44804368.png,data/datasets/unet_public_real/masks/wseg_44804368.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/44804368.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/44804368.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,ed83b47361cb89ee1fdc052ee798232cf24451821da2f2b493a600612caa1507
wseg_45062861,train,positive,wound_unspecified,False,0.147927,data/datasets/unet_public_real/images/wseg_45062861.png,data/datasets/unet_public_real/masks/wseg_45062861.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/45062861.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/45062861.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,6d909e922f40aecf93bc354b2ffd1b4a7cb19bf06b5d1450ab8e95d2c372707b
wseg_45277581,test,positive,wound_unspecified,False,0.092798,data/datasets/unet_public_real/images/wseg_45277581.png,data/datasets/unet_public_real/masks/wseg_45277581.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/45277581.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/45277581.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,13ffd486492297c43b2636cce2228e30dbb95cb65792e95fbdd532dea2a6a24b
wseg_45640751,val,positive,wound_unspecified,False,0.073302,data/datasets/unet_public_real/images/wseg_45640751.png,data/datasets/unet_public_real/masks/wseg_45640751.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/45640751.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/45640751.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,57f030d778701c3c5a053c3b9dc43420d3c8f21859771d2771c1afc063fd7f26
wseg_45981305,train,positive,wound_unspecified,False,0.082958,data/datasets/unet_public_real/images/wseg_45981305.png,data/datasets/unet_public_real/masks/wseg_45981305.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/45981305.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/45981305.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,f9874a67e7c5477b2fb983b443e87c8d395661bb847340acc4ee392a534d5390
wseg_46438480,train,positive,wound_unspecified,False,0.319,data/datasets/unet_public_real/images/wseg_46438480.png,data/datasets/unet_public_real/masks/wseg_46438480.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/46438480.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/46438480.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,879a3535c697e91ecf7821706880c5dcac943fa6968249c6b3f2ba599ab61603
wseg_46845498,val,positive,wound_unspecified,False,0.199953,data/datasets/unet_public_real/images/wseg_46845498.png,data/datasets/unet_public_real/masks/wseg_46845498.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/46845498.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/46845498.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,52204f5acda2172669d38ea1fb5701aa9962fba55824a5e713376be2c45a6ec1
wseg_47125498,test,positive,wound_unspecified,False,0.379113,data/datasets/unet_public_real/images/wseg_47125498.png,data/datasets/unet_public_real/masks/wseg_47125498.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/47125498.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/47125498.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,79a9adb3a610252673a229303f2ba696df316b84003818c5163723d6914bd9c9
wseg_47344019,train,positive,wound_unspecified,False,0.196156,data/datasets/unet_public_real/images/wseg_47344019.png,data/datasets/unet_public_real/masks/wseg_47344019.png,hf_wseg_dataset,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/sample/47344019.jpg,data/datasets/external/hf_wseg_dataset/extracted/wseg_dataset/mask/47344019.jpg,PUBLIC_REAL_PHOTOS,CC-BY-NC-4.0,e9b46a5ef5347d23090551da9d5cce2fecd7ee89d5124652e1ed11f97be1ce07
