dropped_classes,kept,reason,source_path
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0188.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0190.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0191.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0192.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0193.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0194.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0196.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0197.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0198.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0201.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0203.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0204.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0205.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0209.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0210.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0212.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0214.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0215.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/test/images/syn_wound_0217.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0000.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0002.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0003.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0009.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0010.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0013.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0014.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0015.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0019.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0021.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0022.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0025.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0026.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0031.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0035.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0036.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0038.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0043.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0044.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0046.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0050.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0051.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0052.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0055.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0056.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0057.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0058.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0060.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0061.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0068.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0073.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0074.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0083.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0086.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0087.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0089.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0090.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0092.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0093.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0094.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0095.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0097.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0100.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0102.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0105.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0106.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0107.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0111.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0112.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0121.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0122.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0123.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0124.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0125.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0127.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0129.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0131.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0135.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0138.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0140.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0143.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0144.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0147.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_0149.jpg
abrasion,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/train/images/syn_wound_duplicate.jpg
laceration,,no_supported_class_boxes,data/datasets/raw/synthetic_wound/valid/images/syn_wound_0151.jpg
