sample_id,split,dest_image,dest_label,source_dataset,source_path,source_label,source_stem,source_split,provenance,pixel_sha256,byte_sha256,width,height,kept_classes,dropped_classes,boxes_in,boxes_out,boxes_merged_away
raw_synthetic_wound__syn_wound_0185,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0185.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0185.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0185.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0185.txt,syn_wound_0185,test,SYNTHETIC,6611663f63c8679d808cf3e04ca451a678951e2e3cbd9db31f9e6bc87336144f,35519b00aef367de4108d0043257773c9ab2148a431095212af2d016b90df592,640,640,bruise,,1,1,0
raw_synthetic_wound__syn_wound_0186,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0186.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0186.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0186.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0186.txt,syn_wound_0186,test,SYNTHETIC,41773ba80a58ee6c4b661b03c32d8b8432edc2a3e133c5df873b7487f7014add,206242b57af4eccb1b4073bbc7c447bb7b6253b16332846272d8a0b367798aaf,640,640,cut,,1,1,0
raw_synthetic_wound__syn_wound_0187,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0187.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0187.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0187.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0187.txt,syn_wound_0187,test,SYNTHETIC,311c4b2e5aa98b75198bb4bbc891f3b9ec87254e28bcb9b35717d8da0fc52461,ab2190f3456529be1fad567e711730e9f7799248ddae981ae67bf65455790a32,640,640,cut,,1,1,0
raw_synthetic_wound__syn_wound_0189,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0189.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0189.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0189.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0189.txt,syn_wound_0189,test,SYNTHETIC,aafe3b2a05de215ba9b83e107dfcef362f108f86712697f3db5058f6be871ced,b67c79167904e63a0c4c6c6e06470d70cc79dcead060426a9153dbc052e84e41,640,640,bruise,,1,1,0
raw_synthetic_wound__syn_wound_0195,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0195.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0195.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0195.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0195.txt,syn_wound_0195,test,SYNTHETIC,713e21fe7a098c0170304502e7289c20ba2547f5a30340140e98f90b56c1a09c,5fcbce35b25eed0db7a58f0f0a77a59da3e262ba47fe84d472816bd98b8e8ea1,640,640,bruise,,1,1,0
raw_synthetic_wound__syn_wound_0199,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0199.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0199.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0199.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0199.txt,syn_wound_0199,test,SYNTHETIC,0260db7d6421469444df650e19787fa966498b736e090512075c30ac59e9fee6,d24c451943b186c493ba729c20046029db5ce5323773a004c6afa209ac98f150,640,640,cut,,1,1,0
raw_synthetic_wound__syn_wound_0200,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0200.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0200.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0200.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0200.txt,syn_wound_0200,test,SYNTHETIC,e2f3bfd429480ed5cc17463925d9df218b8b4662f1faac17901b1251b9cd08cc,0850cf3d1cc843181068770727e111ef32c07f6acc635af94c564c97117ba0fe,640,640,cut,,1,1,0
raw_synthetic_wound__syn_wound_0202,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0202.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0202.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0202.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0202.txt,syn_wound_0202,test,SYNTHETIC,b6cd253278e1f1391871f0e1df5f731c927e1caec12acf24bca9037c8c2604fd,8f96170f317aeffe4870f953da45b8b00e6cbfef49aebe7087a28d75ab146c7b,640,640,cut,,1,1,0
raw_synthetic_wound__syn_wound_0206,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0206.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0206.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0206.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0206.txt,syn_wound_0206,test,SYNTHETIC,1d9af1ea5d22032e74242cd1283124ab4b207c203e3b2b2343f25f2b6895e1bc,4db387c5f2d3cf1778f1028471d80cec4b18ea31770c76e778b3ed7b1c5d770d,640,640,bruise,,1,1,0
raw_synthetic_wound__syn_wound_0207,test,data/datasets/yolo_processed/images/test/raw_synthetic_wound__syn_wound_0207.jpg,data/datasets/yolo_processed/labels/test/raw_synthetic_wound__syn_wound_0207.txt,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/images/syn_wound_0207.jpg,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0207.txt,syn_wound_0207,test,SYNTHETIC,05aba1b7848518b5169bd147df5027b8196162f92d030c20cc2229ab83fd08ea,01a5f30ffc41cc6d4133b5d6461528fdae68e8e0d3356ed3e9965130ec7b375c,640,640,bruise,,1,1,0
