boxes_in,boxes_merged_away,boxes_out,byte_sha256,dest_image,dest_label,dropped_classes,height,kept_classes,pixel_sha256,provenance,retrain_v2,sample_id,source_dataset,source_label,source_path,source_split,source_stem,split,width
1,0,1,35519b00aef367de4108d0043257773c9ab2148a431095212af2d016b90df592,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0185.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0185.txt,,640,bruise,6611663f63c8679d808cf3e04ca451a678951e2e3cbd9db31f9e6bc87336144f,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0185,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0185.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0185.jpg,test,syn_wound_0185,test,640
1,0,1,206242b57af4eccb1b4073bbc7c447bb7b6253b16332846272d8a0b367798aaf,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0186.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0186.txt,,640,cut,41773ba80a58ee6c4b661b03c32d8b8432edc2a3e133c5df873b7487f7014add,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0186,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0186.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0186.jpg,test,syn_wound_0186,test,640
1,0,1,ab2190f3456529be1fad567e711730e9f7799248ddae981ae67bf65455790a32,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0187.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0187.txt,,640,cut,311c4b2e5aa98b75198bb4bbc891f3b9ec87254e28bcb9b35717d8da0fc52461,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0187,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0187.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0187.jpg,test,syn_wound_0187,test,640
1,0,1,b67c79167904e63a0c4c6c6e06470d70cc79dcead060426a9153dbc052e84e41,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0189.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0189.txt,,640,bruise,aafe3b2a05de215ba9b83e107dfcef362f108f86712697f3db5058f6be871ced,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0189,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0189.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0189.jpg,test,syn_wound_0189,test,640
1,0,1,5fcbce35b25eed0db7a58f0f0a77a59da3e262ba47fe84d472816bd98b8e8ea1,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0195.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0195.txt,,640,bruise,713e21fe7a098c0170304502e7289c20ba2547f5a30340140e98f90b56c1a09c,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0195,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0195.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0195.jpg,test,syn_wound_0195,test,640
1,0,1,d24c451943b186c493ba729c20046029db5ce5323773a004c6afa209ac98f150,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0199.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0199.txt,,640,cut,0260db7d6421469444df650e19787fa966498b736e090512075c30ac59e9fee6,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0199,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0199.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0199.jpg,test,syn_wound_0199,test,640
1,0,1,0850cf3d1cc843181068770727e111ef32c07f6acc635af94c564c97117ba0fe,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0200.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0200.txt,,640,cut,e2f3bfd429480ed5cc17463925d9df218b8b4662f1faac17901b1251b9cd08cc,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0200,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0200.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0200.jpg,test,syn_wound_0200,test,640
1,0,1,8f96170f317aeffe4870f953da45b8b00e6cbfef49aebe7087a28d75ab146c7b,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0202.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0202.txt,,640,cut,b6cd253278e1f1391871f0e1df5f731c927e1caec12acf24bca9037c8c2604fd,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0202,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0202.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0202.jpg,test,syn_wound_0202,test,640
1,0,1,4db387c5f2d3cf1778f1028471d80cec4b18ea31770c76e778b3ed7b1c5d770d,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0206.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0206.txt,,640,bruise,1d9af1ea5d22032e74242cd1283124ab4b207c203e3b2b2343f25f2b6895e1bc,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0206,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0206.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0206.jpg,test,syn_wound_0206,test,640
1,0,1,01a5f30ffc41cc6d4133b5d6461528fdae68e8e0d3356ed3e9965130ec7b375c,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0207.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0207.txt,,640,bruise,05aba1b7848518b5169bd147df5027b8196162f92d030c20cc2229ab83fd08ea,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0207,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0207.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0207.jpg,test,syn_wound_0207,test,640
1,0,1,e7da66b4e54bd1c7d4bdfa867288df0eb9f2b572e58070dd387c016aaac4c8a4,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0208.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0208.txt,,640,bruise,4692bd9a0fea511b4f37be098ca0395e401c486622b74176d55253dc08df5cb8,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0208,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0208.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0208.jpg,test,syn_wound_0208,test,640
1,0,1,488c741efb5b581313d5483c908469a728229d935b6ecc6027979f09181c948f,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0211.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0211.txt,,640,cut,a676dfeae7aaf7f6ac947305ed4dfd13394d1870af7c360018311d93f66321a3,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0211,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0211.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0211.jpg,test,syn_wound_0211,test,640
1,0,1,800b251c417f84c348fd6511f501a4980e5bddccdd984d8c18101446df1e00ec,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0213.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0213.txt,,640,cut,921f43a5959736f3c052af0ada0c277d465a1d805e64fd2a7747f677055c86f3,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0213,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0213.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0213.jpg,test,syn_wound_0213,test,640
1,0,1,6bef9bf6656b83da50efeff429dbedd6745a1440de6a38588095f8817030d8cc,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0216.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0216.txt,,640,bruise,f5dfdeaf11980dbe2ab8c21db482087de465c06b73adf5211068993ca2896442,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0216,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0216.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0216.jpg,test,syn_wound_0216,test,640
1,0,1,269164fde03d8b81b43721814664264dc14a92bf4725188872117e8517c4421c,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0218.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0218.txt,,640,bruise,af89df1907e354b95de0c09fc268ce623ab011305f4e80fd0217a3cfb264d4a5,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0218,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0218.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0218.jpg,test,syn_wound_0218,test,640
1,0,1,42c92b1cdd3b2936cd69f9186a396841acad1927ce996f108d8c4174e930535c,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0219.jpg,data/datasets/yolo_retrain_v2/labels/test/raw_synthetic_wound__syn_wound_0219.txt,,640,bruise,18f3c9bf3a4661ae7f556170b85aae83221e79d5881a1384647021b520250941,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0219,raw_synthetic_wound,data/datasets/raw/synthetic_wound/test/labels/syn_wound_0219.txt,data/datasets/raw/synthetic_wound/test/images/syn_wound_0219.jpg,test,syn_wound_0219,test,640
1,0,1,90daa6403a2d807f7d68710f70b45685a1d1712237369a6c53d437b2c6d9ec8f,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0001.jpg,data/datasets/yolo_retrain_v2/labels/train/raw_synthetic_wound__syn_wound_0001.txt,,640,bruise,bd773b45fe4e5c167863263c66a45d2eab6ca9a64eb7420a64837c2ee3e7fd51,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0001,raw_synthetic_wound,data/datasets/raw/synthetic_wound/train/labels/syn_wound_0001.txt,data/datasets/raw/synthetic_wound/train/images/syn_wound_0001.jpg,train,syn_wound_0001,train,640
1,0,1,5922de6ba0b2b6bc9f80377a7eb6ea701fbc6fb07644d378ebec41bc0b11ec77,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0004.jpg,data/datasets/yolo_retrain_v2/labels/train/raw_synthetic_wound__syn_wound_0004.txt,,640,cut,c33141291e1768f503b9e2fe7a06b48cf14e8e562b599ec2a7186d7facfc0d4c,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0004,raw_synthetic_wound,data/datasets/raw/synthetic_wound/train/labels/syn_wound_0004.txt,data/datasets/raw/synthetic_wound/train/images/syn_wound_0004.jpg,train,syn_wound_0004,train,640
1,0,1,4d4965671eeb456cc6893477bdd0b0a48da13feb26266b39899b3ae8f66e1deb,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0005.jpg,data/datasets/yolo_retrain_v2/labels/train/raw_synthetic_wound__syn_wound_0005.txt,,640,bruise,fe3afd7ec0b85042da1c11f2985f1f6fcbd99851aea29c6e872819db08dab1ed,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0005,raw_synthetic_wound,data/datasets/raw/synthetic_wound/train/labels/syn_wound_0005.txt,data/datasets/raw/synthetic_wound/train/images/syn_wound_0005.jpg,train,syn_wound_0005,train,640
1,0,1,a61f6acf20723af460e367599a8526c5aa99d6edafd95d939e9dfd2757eba6f9,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0006.jpg,data/datasets/yolo_retrain_v2/labels/train/raw_synthetic_wound__syn_wound_0006.txt,,640,cut,277714de5ed0995331109d02b7eb27a9f8a2a9ced8943590c1de89fbaa0a49e0,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0006,raw_synthetic_wound,data/datasets/raw/synthetic_wound/train/labels/syn_wound_0006.txt,data/datasets/raw/synthetic_wound/train/images/syn_wound_0006.jpg,train,syn_wound_0006,train,640
1,0,1,52e18343bb7685a934650e891bacde66d5843e6a61d5c082da4f5b1dff305050,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0007.jpg,data/datasets/yolo_retrain_v2/labels/train/raw_synthetic_wound__syn_wound_0007.txt,,640,bruise,6a909cf3749b2d12ef8cc7083d708811e978cf3fd78d380a940f9be622ddd58d,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0007,raw_synthetic_wound,data/datasets/raw/synthetic_wound/train/labels/syn_wound_0007.txt,data/datasets/raw/synthetic_wound/train/images/syn_wound_0007.jpg,train,syn_wound_0007,train,640
1,0,1,7fe7e2d01f470d45e8e35b3e47c6d5685cb0ca074b4e7f3da1e949f9e92f27a9,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0008.jpg,data/datasets/yolo_retrain_v2/labels/train/raw_synthetic_wound__syn_wound_0008.txt,,640,bruise,ff7af743d0632bfc6b83e790379c882ce5a7882dcb4aa927f4d70b907284912e,SYNTHETIC,copied_from_yolo_processed,raw_synthetic_wound__syn_wound_0008,raw_synthetic_wound,data/datasets/raw/synthetic_wound/train/labels/syn_wound_0008.txt,data/datasets/raw/synthetic_wound/train/images/syn_wound_0008.jpg,train,syn_wound_0008,train,640
