sample_id,split,subject_id,dest_image,dest_label,source_dataset,source_path,provenance,pixel_sha256,n_boxes,class_ids
legacy_raw_synthetic_wound__syn_wound_0185,test,drawing:raw_synthetic_wound__syn_wound_0185,data/datasets/yolo_wound_boxes_v1/images/test/legacy_raw_synthetic_wound__syn_wound_0185.jpg,data/datasets/yolo_wound_boxes_v1/labels/test/legacy_raw_synthetic_wound__syn_wound_0185.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0185.jpg,SYNTHETIC,6611663f63c8679d808cf3e04ca451a678951e2e3cbd9db31f9e6bc87336144f,1,1
legacy_raw_synthetic_wound__syn_wound_0186,train,drawing:raw_synthetic_wound__syn_wound_0186,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0186.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0186.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0186.jpg,SYNTHETIC,41773ba80a58ee6c4b661b03c32d8b8432edc2a3e133c5df873b7487f7014add,1,0
legacy_raw_synthetic_wound__syn_wound_0187,train,drawing:raw_synthetic_wound__syn_wound_0187,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0187.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0187.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0187.jpg,SYNTHETIC,311c4b2e5aa98b75198bb4bbc891f3b9ec87254e28bcb9b35717d8da0fc52461,1,0
legacy_raw_synthetic_wound__syn_wound_0189,train,drawing:raw_synthetic_wound__syn_wound_0189,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0189.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0189.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0189.jpg,SYNTHETIC,aafe3b2a05de215ba9b83e107dfcef362f108f86712697f3db5058f6be871ced,1,1
legacy_raw_synthetic_wound__syn_wound_0195,train,drawing:raw_synthetic_wound__syn_wound_0195,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0195.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0195.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0195.jpg,SYNTHETIC,713e21fe7a098c0170304502e7289c20ba2547f5a30340140e98f90b56c1a09c,1,1
legacy_raw_synthetic_wound__syn_wound_0199,train,drawing:raw_synthetic_wound__syn_wound_0199,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0199.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0199.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0199.jpg,SYNTHETIC,0260db7d6421469444df650e19787fa966498b736e090512075c30ac59e9fee6,1,0
legacy_raw_synthetic_wound__syn_wound_0200,test,drawing:raw_synthetic_wound__syn_wound_0200,data/datasets/yolo_wound_boxes_v1/images/test/legacy_raw_synthetic_wound__syn_wound_0200.jpg,data/datasets/yolo_wound_boxes_v1/labels/test/legacy_raw_synthetic_wound__syn_wound_0200.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0200.jpg,SYNTHETIC,e2f3bfd429480ed5cc17463925d9df218b8b4662f1faac17901b1251b9cd08cc,1,0
legacy_raw_synthetic_wound__syn_wound_0202,val,drawing:raw_synthetic_wound__syn_wound_0202,data/datasets/yolo_wound_boxes_v1/images/val/legacy_raw_synthetic_wound__syn_wound_0202.jpg,data/datasets/yolo_wound_boxes_v1/labels/val/legacy_raw_synthetic_wound__syn_wound_0202.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0202.jpg,SYNTHETIC,b6cd253278e1f1391871f0e1df5f731c927e1caec12acf24bca9037c8c2604fd,1,0
legacy_raw_synthetic_wound__syn_wound_0206,train,drawing:raw_synthetic_wound__syn_wound_0206,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0206.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0206.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0206.jpg,SYNTHETIC,1d9af1ea5d22032e74242cd1283124ab4b207c203e3b2b2343f25f2b6895e1bc,1,1
legacy_raw_synthetic_wound__syn_wound_0207,train,drawing:raw_synthetic_wound__syn_wound_0207,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0207.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0207.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0207.jpg,SYNTHETIC,05aba1b7848518b5169bd147df5027b8196162f92d030c20cc2229ab83fd08ea,1,1
legacy_raw_synthetic_wound__syn_wound_0208,train,drawing:raw_synthetic_wound__syn_wound_0208,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0208.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0208.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0208.jpg,SYNTHETIC,4692bd9a0fea511b4f37be098ca0395e401c486622b74176d55253dc08df5cb8,1,1
legacy_raw_synthetic_wound__syn_wound_0211,train,drawing:raw_synthetic_wound__syn_wound_0211,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0211.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0211.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0211.jpg,SYNTHETIC,a676dfeae7aaf7f6ac947305ed4dfd13394d1870af7c360018311d93f66321a3,1,0
legacy_raw_synthetic_wound__syn_wound_0213,train,drawing:raw_synthetic_wound__syn_wound_0213,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0213.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0213.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0213.jpg,SYNTHETIC,921f43a5959736f3c052af0ada0c277d465a1d805e64fd2a7747f677055c86f3,1,0
legacy_raw_synthetic_wound__syn_wound_0216,test,drawing:raw_synthetic_wound__syn_wound_0216,data/datasets/yolo_wound_boxes_v1/images/test/legacy_raw_synthetic_wound__syn_wound_0216.jpg,data/datasets/yolo_wound_boxes_v1/labels/test/legacy_raw_synthetic_wound__syn_wound_0216.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0216.jpg,SYNTHETIC,f5dfdeaf11980dbe2ab8c21db482087de465c06b73adf5211068993ca2896442,1,1
legacy_raw_synthetic_wound__syn_wound_0218,train,drawing:raw_synthetic_wound__syn_wound_0218,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0218.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0218.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0218.jpg,SYNTHETIC,af89df1907e354b95de0c09fc268ce623ab011305f4e80fd0217a3cfb264d4a5,1,1
legacy_raw_synthetic_wound__syn_wound_0219,train,drawing:raw_synthetic_wound__syn_wound_0219,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0219.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0219.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/test/raw_synthetic_wound__syn_wound_0219.jpg,SYNTHETIC,18f3c9bf3a4661ae7f556170b85aae83221e79d5881a1384647021b520250941,1,1
legacy_raw_synthetic_wound__syn_wound_0001,test,drawing:raw_synthetic_wound__syn_wound_0001,data/datasets/yolo_wound_boxes_v1/images/test/legacy_raw_synthetic_wound__syn_wound_0001.jpg,data/datasets/yolo_wound_boxes_v1/labels/test/legacy_raw_synthetic_wound__syn_wound_0001.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0001.jpg,SYNTHETIC,bd773b45fe4e5c167863263c66a45d2eab6ca9a64eb7420a64837c2ee3e7fd51,1,1
legacy_raw_synthetic_wound__syn_wound_0004,train,drawing:raw_synthetic_wound__syn_wound_0004,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0004.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0004.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0004.jpg,SYNTHETIC,c33141291e1768f503b9e2fe7a06b48cf14e8e562b599ec2a7186d7facfc0d4c,1,0
legacy_raw_synthetic_wound__syn_wound_0005,train,drawing:raw_synthetic_wound__syn_wound_0005,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0005.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0005.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0005.jpg,SYNTHETIC,fe3afd7ec0b85042da1c11f2985f1f6fcbd99851aea29c6e872819db08dab1ed,1,1
legacy_raw_synthetic_wound__syn_wound_0006,val,drawing:raw_synthetic_wound__syn_wound_0006,data/datasets/yolo_wound_boxes_v1/images/val/legacy_raw_synthetic_wound__syn_wound_0006.jpg,data/datasets/yolo_wound_boxes_v1/labels/val/legacy_raw_synthetic_wound__syn_wound_0006.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0006.jpg,SYNTHETIC,277714de5ed0995331109d02b7eb27a9f8a2a9ced8943590c1de89fbaa0a49e0,1,0
legacy_raw_synthetic_wound__syn_wound_0007,train,drawing:raw_synthetic_wound__syn_wound_0007,data/datasets/yolo_wound_boxes_v1/images/train/legacy_raw_synthetic_wound__syn_wound_0007.jpg,data/datasets/yolo_wound_boxes_v1/labels/train/legacy_raw_synthetic_wound__syn_wound_0007.txt,yolo_retrain_v2,data/datasets/yolo_retrain_v2/images/train/raw_synthetic_wound__syn_wound_0007.jpg,SYNTHETIC,6a909cf3749b2d12ef8cc7083d708811e978cf3fd78d380a940f9be622ddd58d,1,1
