timestamp,accelerometer_x,accelerometer_y,accelerometer_z,gyroscope_x,gyroscope_y,gyroscope_z,latitude,longitude,speed
0.0,0.12,9.81,-0.05,0.01,-0.02,0.01,37.7749,-122.4194,5.4
0.02,0.1,-0.08,9.79,0.02,-0.01,0.0,37.7749,-122.4194,5.4
0.04,-0.05,9.85,0.12,-0.01,0.02,0.01,37.7749,-122.4194,5.4
0.06,0.08,9.77,-0.15,0.0,0.0,0.0,37.7749,-122.4194,5.4
0.08,-0.12,9.83,0.05,0.03,-0.01,0.02,37.7749,-122.4194,5.4
0.1,0.15,9.75,-0.02,-0.02,0.01,-0.01,37.7749,-122.4194,5.4
0.12,-0.05,9.88,0.1,-0.01,-0.02,0.0,37.7749,-122.4194,5.4
0.14,0.02,9.79,-0.08,0.01,0.01,0.01,37.7749,-122.4194,5.4
0.16,-0.1,9.82,0.03,0.0,0.0,0.0,37.7749,-122.4194,5.4
0.18,0.05,9.84,-0.05,0.02,0.02,-0.01,37.7749,-122.4194,5.4
0.2,0.12,9.81,-0.05,0.01,-0.02,0.01,37.7749,-122.4194,5.4
0.22,0.1,-0.08,9.79,0.02,-0.01,0.0,37.7749,-122.4194,5.4
0.24,-0.05,9.85,0.12,-0.01,0.02,0.01,37.7749,-122.4194,5.4
0.26,0.08,9.77,-0.15,0.0,0.0,0.0,37.7749,-122.4194,5.4
0.28,-0.12,9.83,0.05,0.03,-0.01,0.02,37.7749,-122.4194,5.4
0.3,0.15,9.75,-0.02,-0.02,0.01,-0.01,37.7749,-122.4194,5.4
0.32,-0.05,9.88,0.1,-0.01,-0.02,0.0,37.7749,-122.4194,5.4
0.34,0.02,9.79,-0.08,0.01,0.01,0.01,37.7749,-122.4194,5.4
0.36,-0.1,9.82,0.03,0.0,0.0,0.0,37.7749,-122.4194,5.4
0.38,0.05,9.84,-0.05,0.02,0.02,-0.01,37.7749,-122.4194,5.4
0.4,-0.12,9.83,0.05,0.03,-0.01,0.02,37.7749,-122.4194,5.4
0.42,0.15,9.75,-0.02,-0.02,0.01,-0.01,37.7749,-122.4194,5.4
0.44,-0.05,9.88,0.1,-0.01,-0.02,0.0,37.7749,-122.4194,5.4
0.46,0.02,9.79,-0.08,0.01,0.01,0.01,37.7749,-122.4194,5.4
0.48,-0.1,9.82,0.03,0.0,0.0,0.0,37.7749,-122.4194,5.4
0.5,0.05,9.84,-0.05,0.02,0.02,-0.01,37.7749,-122.4194,5.4
0.52,0.12,9.81,-0.05,0.01,-0.02,0.01,37.7749,-122.4194,5.4
0.58,-0.12,9.83,0.05,0.03,-0.01,0.02,37.7749,-122.4194,5.4
0.6,0.15,9.75,-0.02,-0.02,0.01,-0.01,37.7749,-122.4194,5.4
0.62,-0.05,9.88,0.1,-0.01,-0.02,0.0,37.7749,-122.4194,5.4
0.64,0.02,9.79,-0.08,0.01,0.01,0.01,37.7749,-122.4194,5.4
0.66,-0.1,9.82,0.03,0.0,0.0,0.0,37.7749,-122.4194,5.4
0.68,0.05,9.84,-0.05,0.02,0.02,-0.01,37.7749,-122.4194,5.4
0.7,-0.12,9.83,0.05,0.03,-0.01,0.02,37.7749,-122.4194,5.4
0.72,0.15,9.75,-0.02,-0.02,0.01,-0.01,37.7749,-122.4194,5.4
0.74,-0.05,9.88,0.1,-0.01,-0.02,0.0,37.7749,-122.4194,5.4
0.76,0.02,9.79,-0.08,0.01,0.01,0.01,37.7749,-122.4194,5.4
0.78,-0.1,9.82,0.03,0.0,0.0,0.0,37.7749,-122.4194,5.4
0.8,0.05,9.84,-0.05,0.02,0.02,-0.01,37.7749,-122.4194,5.4
0.82,0.12,9.81,-0.05,0.01,-0.02,0.01,37.7749,-122.4194,5.4
0.84,0.1,-0.08,9.79,0.02,-0.01,0.0,37.7749,-122.4194,5.4
0.86,-0.05,9.85,0.12,-0.01,0.02,0.01,37.7749,-122.4194,5.4
0.88,0.08,9.77,-0.15,0.0,0.0,0.0,37.7749,-122.4194,5.4
0.9,-0.12,9.83,0.05,0.03,-0.01,0.02,37.7749,-122.4194,5.4
0.92,0.15,9.75,-0.02,-0.02,0.01,-0.01,37.7749,-122.4194,5.4
0.94,-0.05,9.88,0.1,-0.01,-0.02,0.0,37.7749,-122.4194,5.4
0.96,0.02,9.79,-0.08,0.01,0.01,0.01,37.7749,-122.4194,5.4
0.98,-0.1,9.82,0.03,0.0,0.0,0.0,37.7749,-122.4194,5.4
