epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.0754,1.65199,4.51142,1.47253,0.13333,1,0.61752,0.48326,0.66093,3.94481,0.92209,0.000454682,0.000454682,0.000454682
2,60.138,1.13819,3.50483,1.14022,0.97646,0.5,0.7474,0.54576,0.832,3.61594,0.90991,0.00088493,0.00088493,0.00088493
3,89.3539,1.10393,2.90486,1.07608,0.92701,0.5,0.81208,0.50354,0.89307,3.55382,0.96157,0.00126802,0.00126802,0.00126802
4,118.294,1.1416,2.85061,1.09856,0.51187,0.71154,0.6931,0.49898,0.88476,3.67671,0.93283,0.00121679,0.00121679,0.00121679
5,149.977,1.14149,2.58745,1.07584,0.95736,0.5,0.48929,0.36108,1.24542,3.39404,1.35735,0.00114606,0.00114606,0.00114606
6,180.472,0.97535,2.55766,1.06558,0.6225,0.66667,0.66711,0.51686,0.80647,3.04247,1.00846,0.00107532,0.00107532,0.00107532
7,211.716,0.89759,2.42063,1.04533,0.73021,1,0.90321,0.73401,0.71161,2.18325,0.9075,0.00100459,0.00100459,0.00100459
8,242.634,0.9939,2.2686,1.03814,0.81479,0.97774,0.89167,0.63999,0.75373,2.24491,0.91766,0.000933851,0.000933851,0.000933851
9,274.773,0.93375,2.26092,1.01086,0.88441,0.87334,0.91697,0.67628,0.66096,2.35075,0.90234,0.000863116,0.000863116,0.000863116
10,306.526,0.83679,2.03219,0.96915,0.71833,1,0.89405,0.69949,0.60495,2.07836,0.87035,0.00079238,0.00079238,0.00079238
11,336.514,0.81303,2.03976,0.95128,0.89244,0.91431,0.88905,0.71608,0.52811,1.81182,0.83928,0.000721645,0.000721645,0.000721645
12,367.159,0.77476,1.98839,0.94978,0.83129,0.94063,0.96083,0.71505,0.50704,1.79389,0.84708,0.000650909,0.000650909,0.000650909
13,398.669,0.70819,1.99658,0.94784,0.80747,1,0.89,0.70552,0.57181,1.77355,0.85681,0.000580174,0.000580174,0.000580174
14,430.039,0.80533,2.05307,0.98527,0.81292,0.99745,0.89405,0.71345,0.53112,1.71339,0.84362,0.000509438,0.000509438,0.000509438
15,461.203,0.67737,1.82295,0.93388,0.8966,0.95056,0.98357,0.73489,0.46478,1.5608,0.83546,0.000438703,0.000438703,0.000438703
16,492.241,0.6717,1.81336,0.92379,0.8343,0.93432,0.91917,0.74192,0.47994,1.55472,0.84557,0.000367967,0.000367967,0.000367967
17,523.483,0.64438,1.82871,0.89011,0.86295,0.91667,0.89342,0.70949,0.47285,1.58112,0.84493,0.000297232,0.000297232,0.000297232
18,554.684,0.60414,1.79311,0.87254,0.88581,0.91667,0.88542,0.73012,0.46667,1.57285,0.84205,0.000226497,0.000226497,0.000226497
19,586.107,0.61555,1.79048,0.91986,0.89191,0.91667,0.89917,0.74013,0.46203,1.56269,0.83423,0.000155761,0.000155761,0.000155761
20,617.773,0.6173,1.7171,0.87783,0.89432,0.91667,0.88905,0.72412,0.45741,1.54991,0.83238,8.50255e-05,8.50255e-05,8.50255e-05
